state	yr	qtr	index_nsa	index_sa	note
AK	1998	1	128.19	128.63	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	2	131.47	130.66	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	3	132.70	131.96	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	4	134.44	134.97	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	1	133.66	134.36	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	2	136.15	135.23	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	3	137.35	136.53	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	4	135.64	136.11	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	1	137.15	138.02	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	2	141.31	140.34	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	3	141.64	140.71	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	4	141.94	142.41	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	1	144.71	145.69	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	2	148.82	147.80	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	3	152.20	151.20	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	4	153.22	153.69	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	1	154.10	155.13	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	2	159.44	158.45	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	3	162.45	161.33	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	4	162.35	162.79	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	1	166.75	167.94	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	2	169.31	168.26	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	3	172.43	171.19	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	4	175.63	176.04	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	1	178.32	179.77	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	2	184.54	183.36	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	3	189.06	187.59	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	4	192.88	193.23	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	1	198.07	200.11	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	2	204.36	202.81	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	3	212.17	210.36	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	4	214.47	214.86	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	1	216.70	219.34	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	2	225.43	223.51	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	3	227.86	225.76	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	4	227.06	227.36	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	1	227.52	230.82	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	2	235.16	232.90	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	3	234.35	232.03	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	4	230.25	230.61	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	1	222.03	225.40	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	2	231.93	229.69	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	3	232.97	230.55	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	4	226.00	226.34	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	1	230.18	233.83	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	2	228.04	225.74	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	3	227.18	224.74	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	4	226.51	227.05	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	1	222.34	225.75	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	2	230.18	227.84	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	3	231.11	228.57	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	4	227.40	228.07	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	1	227.63	231.24	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	2	228.16	225.62	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	3	229.70	227.00	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	4	226.05	227.14	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	1	223.77	227.23	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	2	234.80	232.11	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	3	234.08	231.07	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	4	233.14	234.57	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	1	233.25	236.98	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	2	241.83	238.92	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	3	240.56	237.21	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	4	236.05	237.84	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2014	1	234.23	237.86	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2014	2	246.61	243.71	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2014	3	252.17	248.48	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2014	4	245.77	247.75	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2015	1	248.24	252.07	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2015	2	254.69	251.78	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2015	3	259.26	255.34	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2015	4	258.26	260.44	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2016	1	258.95	262.84	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2016	2	264.01	261.16	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AL	1991	1	100.00	100.00	
AL	1991	2	101.49	101.22	
AL	1991	3	102.33	101.63	
AL	1991	4	103.31	102.79	
AL	1992	1	104.28	104.26	
AL	1992	2	105.01	104.74	
AL	1992	3	106.48	105.76	
AL	1992	4	108.09	107.57	
AL	1993	1	107.63	107.58	
AL	1993	2	109.80	109.53	
AL	1993	3	111.69	110.93	
AL	1993	4	112.58	112.07	
AL	1994	1	114.22	114.13	
AL	1994	2	115.78	115.49	
AL	1994	3	117.31	116.50	
AL	1994	4	119.15	118.65	
AL	1995	1	120.30	120.18	
AL	1995	2	121.54	121.25	
AL	1995	3	122.34	121.48	
AL	1995	4	122.39	121.88	
AL	1996	1	122.72	122.62	
AL	1996	2	125.81	125.49	
AL	1996	3	127.23	126.34	
AL	1996	4	128.49	127.94	
AL	1997	1	129.48	129.39	
AL	1997	2	130.10	129.74	
AL	1997	3	131.93	131.04	
AL	1997	4	132.48	131.88	
AL	1998	1	132.45	132.39	
AL	1998	2	134.68	134.26	
AL	1998	3	136.72	135.85	
AL	1998	4	138.06	137.41	
AL	1999	1	138.37	138.32	
AL	1999	2	140.77	140.28	
AL	1999	3	141.61	140.78	
AL	1999	4	143.48	142.81	
AL	2000	1	145.26	145.20	
AL	2000	2	145.95	145.38	
AL	2000	3	147.36	146.54	
AL	2000	4	148.09	147.40	
AL	2001	1	149.01	148.97	
AL	2001	2	150.31	149.69	
AL	2001	3	150.99	150.12	
AL	2001	4	152.33	151.66	
AL	2002	1	152.08	152.04	
AL	2002	2	153.96	153.31	
AL	2002	3	154.61	153.68	
AL	2002	4	155.65	154.99	
AL	2003	1	157.19	157.21	
AL	2003	2	159.23	158.52	
AL	2003	3	161.60	160.55	
AL	2003	4	162.24	161.59	
AL	2004	1	160.94	161.04	
AL	2004	2	164.55	163.76	
AL	2004	3	168.58	167.41	
AL	2004	4	170.60	169.96	
AL	2005	1	173.41	173.66	
AL	2005	2	177.68	176.73	
AL	2005	3	180.89	179.52	
AL	2005	4	183.79	183.12	
AL	2006	1	187.35	187.87	
AL	2006	2	190.54	189.34	
AL	2006	3	191.44	189.92	
AL	2006	4	192.89	192.13	
AL	2007	1	191.32	192.26	
AL	2007	2	193.11	191.56	
AL	2007	3	192.65	191.14	
AL	2007	4	189.77	188.91	
AL	2008	1	186.84	188.16	
AL	2008	2	186.95	185.13	
AL	2008	3	183.81	182.39	
AL	2008	4	178.75	177.89	
AL	2009	1	171.81	173.32	
AL	2009	2	175.07	173.12	
AL	2009	3	173.35	172.04	
AL	2009	4	171.53	170.65	
AL	2010	1	163.71	165.34	
AL	2010	2	164.42	162.49	
AL	2010	3	158.20	156.93	
AL	2010	4	155.49	154.75	
AL	2011	1	153.30	154.89	
AL	2011	2	155.32	153.45	
AL	2011	3	154.14	152.79	
AL	2011	4	151.90	151.31	
AL	2012	1	152.45	154.04	
AL	2012	2	150.61	148.82	
AL	2012	3	151.93	150.38	
AL	2012	4	156.36	155.96	
AL	2013	1	150.91	152.49	
AL	2013	2	154.97	153.07	
AL	2013	3	157.95	156.19	
AL	2013	4	154.50	154.26	
AL	2014	1	154.32	156.01	
AL	2014	2	159.10	157.06	
AL	2014	3	160.74	158.80	
AL	2014	4	160.58	160.50	
AL	2015	1	160.21	162.08	
AL	2015	2	165.76	163.44	
AL	2015	3	165.09	163.09	
AL	2015	4	164.53	164.56	
AL	2016	1	163.90	165.86	
AL	2016	2	171.47	168.93	
AR	1991	1	100.00	100.00	
AR	1991	2	100.32	100.01	
AR	1991	3	101.97	101.69	
AR	1991	4	103.58	103.37	
AR	1992	1	104.06	104.06	
AR	1992	2	103.14	102.81	
AR	1992	3	105.30	104.99	
AR	1992	4	106.18	106.01	
AR	1993	1	106.47	106.48	
AR	1993	2	109.62	109.22	
AR	1993	3	110.62	110.27	
AR	1993	4	111.86	111.75	
AR	1994	1	114.04	114.06	
AR	1994	2	116.04	115.58	
AR	1994	3	116.50	116.09	
AR	1994	4	117.55	117.52	
AR	1995	1	119.05	119.06	
AR	1995	2	120.90	120.39	
AR	1995	3	123.04	122.58	
AR	1995	4	123.68	123.71	
AR	1996	1	125.20	125.18	
AR	1996	2	126.60	126.09	
AR	1996	3	126.54	126.03	
AR	1996	4	127.78	127.83	
AR	1997	1	127.65	127.59	
AR	1997	2	128.67	128.19	
AR	1997	3	129.98	129.45	
AR	1997	4	129.96	130.00	
AR	1998	1	130.59	130.51	
AR	1998	2	131.79	131.34	
AR	1998	3	132.67	132.13	
AR	1998	4	133.64	133.63	
AR	1999	1	135.51	135.43	
AR	1999	2	136.82	136.41	
AR	1999	3	137.42	136.85	
AR	1999	4	137.78	137.74	
AR	2000	1	138.65	138.53	
AR	2000	2	141.54	141.22	
AR	2000	3	140.97	140.31	
AR	2000	4	142.97	142.92	
AR	2001	1	144.37	144.25	
AR	2001	2	145.45	145.21	
AR	2001	3	147.20	146.44	
AR	2001	4	148.03	147.96	
AR	2002	1	148.98	148.87	
AR	2002	2	150.44	150.27	
AR	2002	3	153.30	152.43	
AR	2002	4	153.45	153.34	
AR	2003	1	156.04	155.98	
AR	2003	2	158.07	157.92	
AR	2003	3	161.27	160.31	
AR	2003	4	161.35	161.20	
AR	2004	1	165.27	165.27	
AR	2004	2	168.50	168.29	
AR	2004	3	172.20	171.16	
AR	2004	4	174.93	174.75	
AR	2005	1	176.69	176.78	
AR	2005	2	179.58	179.28	
AR	2005	3	183.71	182.55	
AR	2005	4	187.05	186.92	
AR	2006	1	188.46	188.66	
AR	2006	2	191.33	190.92	
AR	2006	3	193.77	192.43	
AR	2006	4	194.75	194.70	
AR	2007	1	195.34	195.76	
AR	2007	2	197.06	196.49	
AR	2007	3	196.47	194.93	
AR	2007	4	194.13	194.21	
AR	2008	1	193.43	194.06	
AR	2008	2	191.36	190.66	
AR	2008	3	190.21	188.53	
AR	2008	4	183.82	184.00	
AR	2009	1	181.68	182.51	
AR	2009	2	182.43	181.58	
AR	2009	3	183.71	181.93	
AR	2009	4	181.53	181.84	
AR	2010	1	175.66	176.67	
AR	2010	2	180.46	179.41	
AR	2010	3	177.14	175.34	
AR	2010	4	174.02	174.42	
AR	2011	1	172.48	173.67	
AR	2011	2	170.80	169.56	
AR	2011	3	174.81	172.99	
AR	2011	4	173.77	174.31	
AR	2012	1	174.12	175.44	
AR	2012	2	179.52	178.01	
AR	2012	3	180.70	178.78	
AR	2012	4	179.75	180.46	
AR	2013	1	181.07	182.48	
AR	2013	2	184.07	182.41	
AR	2013	3	183.78	181.77	
AR	2013	4	180.59	181.45	
AR	2014	1	183.48	184.85	
AR	2014	2	186.50	184.80	
AR	2014	3	189.54	187.40	
AR	2014	4	187.15	188.11	
AR	2015	1	186.73	188.08	
AR	2015	2	192.36	190.66	
AR	2015	3	194.56	192.33	
AR	2015	4	193.52	194.53	
AR	2016	1	195.55	196.91	
AR	2016	2	198.61	196.94	
AZ	1991	1	100.00	100.00	
AZ	1991	2	99.73	99.77	
AZ	1991	3	101.08	100.43	
AZ	1991	4	101.60	101.32	
AZ	1992	1	101.31	101.32	
AZ	1992	2	101.53	101.54	
AZ	1992	3	103.04	102.40	
AZ	1992	4	103.32	103.04	
AZ	1993	1	104.29	104.32	
AZ	1993	2	105.44	105.39	
AZ	1993	3	107.26	106.62	
AZ	1993	4	108.11	107.86	
AZ	1994	1	109.36	109.39	
AZ	1994	2	112.08	111.95	
AZ	1994	3	114.60	113.97	
AZ	1994	4	116.51	116.25	
AZ	1995	1	118.02	118.05	
AZ	1995	2	119.91	119.69	
AZ	1995	3	121.71	121.11	
AZ	1995	4	123.10	122.84	
AZ	1996	1	124.70	124.72	
AZ	1996	2	126.46	126.15	
AZ	1996	3	128.47	127.92	
AZ	1996	4	128.95	128.67	
AZ	1997	1	130.11	130.13	
AZ	1997	2	131.60	131.23	
AZ	1997	3	132.98	132.47	
AZ	1997	4	134.65	134.34	
AZ	1998	1	136.05	136.08	
AZ	1998	2	138.45	138.01	
AZ	1998	3	140.56	140.07	
AZ	1998	4	142.66	142.30	
AZ	1999	1	144.27	144.37	
AZ	1999	2	147.30	146.78	
AZ	1999	3	149.70	149.19	
AZ	1999	4	152.26	151.84	
AZ	2000	1	154.82	155.00	
AZ	2000	2	157.80	157.20	
AZ	2000	3	159.74	159.18	
AZ	2000	4	161.83	161.37	
AZ	2001	1	163.26	163.52	
AZ	2001	2	166.66	166.02	
AZ	2001	3	168.86	168.19	
AZ	2001	4	171.03	170.53	
AZ	2002	1	172.20	172.59	
AZ	2002	2	175.72	175.04	
AZ	2002	3	178.61	177.78	
AZ	2002	4	180.37	179.86	
AZ	2003	1	183.27	183.81	
AZ	2003	2	187.44	186.71	
AZ	2003	3	190.94	189.88	
AZ	2003	4	195.49	195.00	
AZ	2004	1	199.93	200.67	
AZ	2004	2	208.36	207.55	
AZ	2004	3	219.48	218.02	
AZ	2004	4	232.73	232.19	
AZ	2005	1	249.48	250.63	
AZ	2005	2	274.84	273.82	
AZ	2005	3	299.11	296.73	
AZ	2005	4	311.70	310.93	
AZ	2006	1	319.99	321.91	
AZ	2006	2	326.99	325.93	
AZ	2006	3	326.78	323.67	
AZ	2006	4	322.64	321.64	
AZ	2007	1	316.47	318.95	
AZ	2007	2	308.67	307.69	
AZ	2007	3	296.24	293.13	
AZ	2007	4	276.39	275.36	
AZ	2008	1	254.24	256.59	
AZ	2008	2	238.40	237.58	
AZ	2008	3	220.65	218.28	
AZ	2008	4	197.89	197.08	
AZ	2009	1	176.14	177.92	
AZ	2009	2	170.15	169.39	
AZ	2009	3	172.02	170.27	
AZ	2009	4	171.92	171.28	
AZ	2010	1	167.01	168.69	
AZ	2010	2	166.80	165.86	
AZ	2010	3	160.75	159.27	
AZ	2010	4	155.46	155.04	
AZ	2011	1	151.09	152.47	
AZ	2011	2	151.43	150.35	
AZ	2011	3	151.60	150.40	
AZ	2011	4	154.60	154.41	
AZ	2012	1	160.44	161.60	
AZ	2012	2	171.87	170.53	
AZ	2012	3	179.74	178.49	
AZ	2012	4	186.08	186.12	
AZ	2013	1	193.21	194.27	
AZ	2013	2	203.40	201.78	
AZ	2013	3	209.82	208.44	
AZ	2013	4	213.79	214.02	
AZ	2014	1	217.01	217.91	
AZ	2014	2	221.85	220.23	
AZ	2014	3	224.54	223.06	
AZ	2014	4	225.84	226.13	
AZ	2015	1	229.77	230.57	
AZ	2015	2	236.09	234.49	
AZ	2015	3	241.00	239.41	
AZ	2015	4	243.68	243.99	
AZ	2016	1	247.74	248.50	
AZ	2016	2	254.81	253.20	
CA	1991	1	100.00	100.00	
CA	1991	2	100.38	99.63	
CA	1991	3	100.45	99.45	
CA	1991	4	99.83	99.22	
CA	1992	1	98.41	98.42	
CA	1992	2	97.31	96.58	
CA	1992	3	97.00	96.04	
CA	1992	4	95.15	94.58	
CA	1993	1	93.13	93.15	
CA	1993	2	92.48	91.77	
CA	1993	3	91.31	90.38	
CA	1993	4	90.06	89.57	
CA	1994	1	88.51	88.52	
CA	1994	2	89.50	88.78	
CA	1994	3	89.28	88.37	
CA	1994	4	88.55	88.11	
CA	1995	1	87.65	87.65	
CA	1995	2	87.97	87.23	
CA	1995	3	87.80	86.91	
CA	1995	4	86.86	86.47	
CA	1996	1	86.39	86.38	
CA	1996	2	86.83	86.06	
CA	1996	3	87.10	86.22	
CA	1996	4	86.69	86.34	
CA	1997	1	86.75	86.72	
CA	1997	2	88.14	87.33	
CA	1997	3	89.28	88.40	
CA	1997	4	90.15	89.82	
CA	1998	1	91.72	91.67	
CA	1998	2	94.66	93.76	
CA	1998	3	96.65	95.70	
CA	1998	4	98.26	97.91	
CA	1999	1	100.02	99.97	
CA	1999	2	104.01	103.02	
CA	1999	3	105.69	104.64	
CA	1999	4	108.07	107.68	
CA	2000	1	111.56	111.55	
CA	2000	2	116.53	115.43	
CA	2000	3	120.34	119.08	
CA	2000	4	124.21	123.75	
CA	2001	1	127.27	127.33	
CA	2001	2	130.85	129.63	
CA	2001	3	134.05	132.56	
CA	2001	4	135.62	135.09	
CA	2002	1	139.53	139.68	
CA	2002	2	147.06	145.75	
CA	2002	3	153.72	151.87	
CA	2002	4	158.53	157.91	
CA	2003	1	162.82	163.09	
CA	2003	2	170.99	169.51	
CA	2003	3	179.62	177.36	
CA	2003	4	188.10	187.31	
CA	2004	1	198.09	198.51	
CA	2004	2	213.78	212.01	
CA	2004	3	227.56	224.58	
CA	2004	4	236.95	235.84	
CA	2005	1	248.04	248.74	
CA	2005	2	262.22	260.17	
CA	2005	3	274.53	270.81	
CA	2005	4	280.35	278.78	
CA	2006	1	282.87	283.90	
CA	2006	2	285.40	283.41	
CA	2006	3	283.24	279.18	
CA	2006	4	277.73	275.88	
CA	2007	1	269.88	271.21	
CA	2007	2	260.53	258.81	
CA	2007	3	247.32	243.64	
CA	2007	4	225.94	224.23	
CA	2008	1	202.51	203.74	
CA	2008	2	188.32	187.10	
CA	2008	3	175.98	173.30	
CA	2008	4	162.61	161.29	
CA	2009	1	151.24	152.33	
CA	2009	2	149.33	148.25	
CA	2009	3	151.98	149.66	
CA	2009	4	153.00	151.80	
CA	2010	1	150.86	152.01	
CA	2010	2	153.24	151.98	
CA	2010	3	150.47	148.21	
CA	2010	4	147.31	146.27	
CA	2011	1	144.15	145.24	
CA	2011	2	144.81	143.41	
CA	2011	3	144.44	142.38	
CA	2011	4	143.20	142.38	
CA	2012	1	142.97	143.93	
CA	2012	2	149.60	147.98	
CA	2012	3	154.70	152.59	
CA	2012	4	160.00	159.27	
CA	2013	1	166.14	167.13	
CA	2013	2	177.76	175.65	
CA	2013	3	186.54	184.12	
CA	2013	4	191.21	190.54	
CA	2014	1	194.62	195.59	
CA	2014	2	202.12	199.64	
CA	2014	3	206.46	203.89	
CA	2014	4	208.69	208.08	
CA	2015	1	211.96	212.85	
CA	2015	2	219.90	217.15	
CA	2015	3	223.57	220.87	
CA	2015	4	226.24	225.68	
CA	2016	1	230.42	231.23	
CA	2016	2	237.13	234.17	
CO	1991	1	100.00	100.00	
CO	1991	2	100.37	99.62	
CO	1991	3	101.76	100.79	
CO	1991	4	103.13	102.90	
CO	1992	1	104.46	104.49	
CO	1992	2	107.56	106.73	
CO	1992	3	109.90	108.86	
CO	1992	4	112.08	111.84	
CO	1993	1	114.31	114.39	
CO	1993	2	119.36	118.38	
CO	1993	3	123.84	122.69	
CO	1993	4	126.58	126.31	
CO	1994	1	130.14	130.27	
CO	1994	2	135.09	133.90	
CO	1994	3	137.81	136.54	
CO	1994	4	139.71	139.46	
CO	1995	1	141.78	141.89	
CO	1995	2	146.85	145.52	
CO	1995	3	149.72	148.40	
CO	1995	4	150.53	150.28	
CO	1996	1	152.93	153.00	
CO	1996	2	156.08	154.68	
CO	1996	3	157.69	156.33	
CO	1996	4	159.61	159.36	
CO	1997	1	161.52	161.50	
CO	1997	2	164.47	163.03	
CO	1997	3	166.78	165.41	
CO	1997	4	167.61	167.29	
CO	1998	1	171.32	171.24	
CO	1998	2	175.55	174.08	
CO	1998	3	179.04	177.58	
CO	1998	4	181.85	181.48	
CO	1999	1	185.60	185.47	
CO	1999	2	192.43	190.87	
CO	1999	3	198.04	196.48	
CO	1999	4	202.31	201.79	
CO	2000	1	207.92	207.78	
CO	2000	2	215.60	213.93	
CO	2000	3	221.33	219.60	
CO	2000	4	227.01	226.32	
CO	2001	1	232.17	232.03	
CO	2001	2	237.65	235.86	
CO	2001	3	241.67	239.84	
CO	2001	4	242.99	242.10	
CO	2002	1	244.54	244.44	
CO	2002	2	249.33	247.51	
CO	2002	3	251.43	249.51	
CO	2002	4	252.42	251.43	
CO	2003	1	252.25	252.25	
CO	2003	2	254.32	252.45	
CO	2003	3	256.13	254.08	
CO	2003	4	257.95	256.92	
CO	2004	1	258.88	259.11	
CO	2004	2	262.67	260.65	
CO	2004	3	264.65	262.25	
CO	2004	4	266.68	265.72	
CO	2005	1	268.78	269.43	
CO	2005	2	274.56	272.27	
CO	2005	3	276.66	273.70	
CO	2005	4	279.03	278.21	
CO	2006	1	280.27	281.54	
CO	2006	2	284.69	282.01	
CO	2006	3	286.22	282.61	
CO	2006	4	283.80	283.17	
CO	2007	1	280.96	282.91	
CO	2007	2	284.09	281.07	
CO	2007	3	281.34	277.35	
CO	2007	4	270.95	270.45	
CO	2008	1	262.18	264.60	
CO	2008	2	262.45	259.38	
CO	2008	3	258.57	254.59	
CO	2008	4	248.26	247.84	
CO	2009	1	242.73	245.37	
CO	2009	2	251.65	248.47	
CO	2009	3	255.00	251.00	
CO	2009	4	253.41	252.91	
CO	2010	1	249.14	252.08	
CO	2010	2	254.82	251.38	
CO	2010	3	248.82	245.00	
CO	2010	4	243.75	243.27	
CO	2011	1	237.46	240.22	
CO	2011	2	242.11	238.70	
CO	2011	3	244.98	241.46	
CO	2011	4	242.78	242.36	
CO	2012	1	243.78	246.38	
CO	2012	2	256.02	252.36	
CO	2012	3	260.43	256.88	
CO	2012	4	264.74	264.55	
CO	2013	1	266.27	268.63	
CO	2013	2	278.74	274.65	
CO	2013	3	284.50	280.87	
CO	2013	4	285.47	285.59	
CO	2014	1	290.82	292.87	
CO	2014	2	301.58	297.12	
CO	2014	3	307.63	303.88	
CO	2014	4	311.74	312.29	
CO	2015	1	319.71	321.35	
CO	2015	2	334.31	329.35	
CO	2015	3	340.70	336.73	
CO	2015	4	343.13	344.03	
CO	2016	1	352.23	353.59	
CO	2016	2	364.91	359.58	
CT	1991	1	100.00	100.00	
CT	1991	2	97.48	97.75	
CT	1991	3	97.74	97.05	
CT	1991	4	96.31	96.63	
CT	1992	1	96.77	96.95	
CT	1992	2	95.66	95.80	
CT	1992	3	94.36	93.70	
CT	1992	4	94.57	94.82	
CT	1993	1	91.63	92.04	
CT	1993	2	92.27	92.25	
CT	1993	3	92.53	91.87	
CT	1993	4	91.83	92.00	
CT	1994	1	91.08	91.74	
CT	1994	2	92.02	91.85	
CT	1994	3	92.41	91.69	
CT	1994	4	91.10	91.26	
