state	yr	qtr	index_nsa	index_sa	Warning
AL	1994	3	117.25	116.46	
AL	1994	4	118.09	117.59	
AL	1995	1	118.48	118.41	
AL	1995	2	119.77	119.15	
AL	1995	3	121.58	120.81	
AL	1995	4	121.94	121.52	
AL	1996	1	122.90	122.76	
AL	1996	2	125.23	124.50	
AL	1996	3	125.85	125.10	
AL	1996	4	126.81	126.47	
AL	1997	1	127.85	127.65	
AL	1997	2	128.48	127.64	
AL	1997	3	129.85	129.16	
AL	1997	4	129.74	129.45	
AL	1998	1	131.04	130.75	
AL	1998	2	133.04	132.14	
AL	1998	3	134.31	133.64	
AL	1998	4	135.67	135.42	
AL	1999	1	136.56	136.20	
AL	1999	2	138.24	137.27	
AL	1999	3	138.73	138.09	
AL	1999	4	139.82	139.56	
AL	2000	1	141.39	141.02	
AL	2000	2	142.73	141.74	
AL	2000	3	142.97	142.27	
AL	2000	4	143.13	142.87	
AL	2001	1	144.54	144.20	
AL	2001	2	146.48	145.49	
AL	2001	3	147.16	146.35	
AL	2001	4	147.60	147.33	
AL	2002	1	148.93	148.64	
AL	2002	2	150.68	149.72	
AL	2002	3	151.73	150.75	
AL	2002	4	153.48	153.22	
AL	2003	1	154.46	154.24	
AL	2003	2	156.88	155.91	
AL	2003	3	159.87	158.71	
AL	2003	4	159.40	159.15	
AL	2004	1	160.52	160.41	
AL	2004	2	163.86	162.80	
AL	2004	3	167.86	166.53	
AL	2004	4	168.76	168.53	
AL	2005	1	171.72	171.75	
AL	2005	2	175.53	174.27	
AL	2005	3	179.54	178.03	
AL	2005	4	182.92	182.80	
AL	2006	1	187.23	187.39	
AL	2006	2	192.48	190.94	
AL	2006	3	195.46	193.71	
AL	2006	4	196.60	196.58	
AL	2007	1	198.22	198.57	
AL	2007	2	202.86	201.10	
AL	2007	3	202.73	200.68	
AL	2007	4	200.73	200.88	
AL	2008	1	198.86	199.42	
AL	2008	2	199.41	197.62	
AL	2008	3	196.61	194.28	
AL	2008	4	191.97	192.26	
AL	2009	1	192.58	193.40	
AL	2009	2	193.69	191.84	
AL	2009	3	189.08	186.56	
AL	2009	4	193.78	194.23	
AL	2010	1	183.56	184.57	
AL	2010	2	183.60	181.74	
AL	2010	3	183.46	180.85	
AL	2010	4	174.94	175.39	
AL	2011	1	171.28	172.38	
AL	2011	2	173.03	171.18	
AL	2011	3	175.02	172.54	
AL	2011	4	172.42	172.79	
AL	2012	1	174.57	175.84	
AL	2012	2	180.65	178.59	
AL	2012	3	178.10	175.66	
AL	2012	4	178.71	179.02	
AL	2013	1	178.23	179.64	
AL	2013	2	183.93	181.59	
AL	2013	3	186.63	184.36	
AL	2013	4	184.78	184.94	
AL	2014	1	185.15	186.72	
AL	2014	2	187.88	185.28	
AL	2014	3	190.34	188.27	
AL	2014	4	192.61	192.69	
AL	2015	1	189.38	191.02	
AL	2015	2	198.53	195.64	
AL	2015	3	198.40	196.42	
AL	2015	4	195.68	195.64	
AL	2016	1	197.30	199.10	
AL	2016	2	205.87	202.78	
AR	1991	1	100.00	100.00	
AR	1991	2	100.37	100.22	
AR	1991	3	101.86	101.65	
AR	1991	4	102.99	103.07	
AR	1992	1	102.95	102.97	
AR	1992	2	103.94	103.75	
AR	1992	3	105.09	104.89	
AR	1992	4	105.79	105.88	
AR	1993	1	107.67	107.71	
AR	1993	2	109.64	109.40	
AR	1993	3	111.66	111.46	
AR	1993	4	111.54	111.63	
AR	1994	1	115.23	115.28	
AR	1994	2	116.62	116.35	
AR	1994	3	117.06	116.86	
AR	1994	4	119.58	119.66	
AR	1995	1	119.10	119.19	
AR	1995	2	121.59	121.27	
AR	1995	3	123.25	123.04	
AR	1995	4	123.57	123.67	
AR	1996	1	124.39	124.51	
AR	1996	2	125.97	125.60	
AR	1996	3	125.52	125.29	
AR	1996	4	126.20	126.32	
AR	1997	1	127.29	127.46	
AR	1997	2	128.31	127.89	
AR	1997	3	128.67	128.44	
AR	1997	4	129.29	129.41	
AR	1998	1	129.62	129.82	
AR	1998	2	129.96	129.53	
AR	1998	3	132.70	132.42	
AR	1998	4	132.77	132.90	
AR	1999	1	133.99	134.22	
AR	1999	2	135.61	135.16	
AR	1999	3	136.52	136.21	
AR	1999	4	137.27	137.39	
AR	2000	1	137.32	137.59	
AR	2000	2	140.14	139.72	
AR	2000	3	140.66	140.27	
AR	2000	4	141.30	141.41	
AR	2001	1	142.82	143.12	
AR	2001	2	144.07	143.67	
AR	2001	3	146.00	145.55	
AR	2001	4	146.15	146.22	
AR	2002	1	147.37	147.76	
AR	2002	2	150.43	150.04	
AR	2002	3	151.56	151.04	
AR	2002	4	152.80	152.82	
AR	2003	1	154.58	155.11	
AR	2003	2	157.28	156.86	
AR	2003	3	160.82	160.20	
AR	2003	4	161.54	161.55	
AR	2004	1	164.68	165.32	
AR	2004	2	168.05	167.59	
AR	2004	3	170.94	170.22	
AR	2004	4	173.23	173.25	
AR	2005	1	175.26	176.01	
AR	2005	2	178.66	178.11	
AR	2005	3	182.61	181.83	
AR	2005	4	185.67	185.79	
AR	2006	1	187.13	187.83	
AR	2006	2	190.57	189.98	
AR	2006	3	192.42	191.64	
AR	2006	4	193.23	193.42	
AR	2007	1	192.29	192.95	
AR	2007	2	195.98	195.27	
AR	2007	3	195.86	195.12	
AR	2007	4	194.18	194.54	
AR	2008	1	189.88	190.37	
AR	2008	2	189.91	189.22	
AR	2008	3	189.53	188.80	
AR	2008	4	185.66	186.20	
AR	2009	1	184.27	184.63	
AR	2009	2	185.16	184.39	
AR	2009	3	185.25	184.51	
AR	2009	4	188.75	189.57	
AR	2010	1	177.83	177.99	
AR	2010	2	184.03	183.25	
AR	2010	3	178.55	177.77	
AR	2010	4	174.56	175.54	
AR	2011	1	178.59	178.60	
AR	2011	2	174.48	173.75	
AR	2011	3	176.93	176.13	
AR	2011	4	178.80	179.95	
AR	2012	1	178.71	178.59	
AR	2012	2	183.73	182.99	
AR	2012	3	183.28	182.43	
AR	2012	4	180.87	182.16	
AR	2013	1	188.29	188.01	
AR	2013	2	187.81	187.09	
AR	2013	3	188.92	188.03	
AR	2013	4	184.80	186.20	
AR	2014	1	189.95	189.56	
AR	2014	2	191.07	190.41	
AR	2014	3	192.59	191.63	
AR	2014	4	194.06	195.56	
AR	2015	1	190.25	189.87	
AR	2015	2	196.39	195.75	
AR	2015	3	200.37	199.25	
AR	2015	4	198.99	200.58	
AR	2016	1	201.02	200.65	
AR	2016	2	201.67	201.08	
AZ	1991	1	100.00	100.00	
AZ	1991	2	100.51	100.40	
AZ	1991	3	99.32	99.49	
AZ	1991	4	102.16	101.55	
AZ	1992	1	102.35	102.38	
AZ	1992	2	101.64	101.53	
AZ	1992	3	102.76	102.88	
AZ	1992	4	103.85	103.28	
AZ	1993	1	104.17	104.22	
AZ	1993	2	105.51	105.40	
AZ	1993	3	106.78	106.78	
AZ	1993	4	109.31	108.82	
AZ	1994	1	109.96	110.06	
AZ	1994	2	112.64	112.49	
AZ	1994	3	114.14	113.98	
AZ	1994	4	116.41	116.04	
AZ	1995	1	117.40	117.56	
AZ	1995	2	118.74	118.51	
AZ	1995	3	120.98	120.66	
AZ	1995	4	121.71	121.51	
AZ	1996	1	123.28	123.47	
AZ	1996	2	124.97	124.67	
AZ	1996	3	126.29	125.83	
AZ	1996	4	126.36	126.33	
AZ	1997	1	127.36	127.55	
AZ	1997	2	129.38	128.99	
AZ	1997	3	130.68	130.16	
AZ	1997	4	131.30	131.39	
AZ	1998	1	132.46	132.63	
AZ	1998	2	135.56	135.09	
AZ	1998	3	137.60	137.09	
AZ	1998	4	138.67	138.77	
AZ	1999	1	140.87	141.06	
AZ	1999	2	143.46	142.89	
AZ	1999	3	145.80	145.37	
AZ	1999	4	147.27	147.32	
AZ	2000	1	149.46	149.64	
AZ	2000	2	152.15	151.54	
AZ	2000	3	153.47	153.11	
AZ	2000	4	155.98	155.95	
AZ	2001	1	158.11	158.29	
AZ	2001	2	161.43	160.81	
AZ	2001	3	163.07	162.72	
AZ	2001	4	166.12	166.03	
AZ	2002	1	167.02	167.27	
AZ	2002	2	170.50	169.86	
AZ	2002	3	173.23	172.74	
AZ	2002	4	176.81	176.77	
AZ	2003	1	179.78	180.15	
AZ	2003	2	184.04	183.31	
AZ	2003	3	187.86	187.12	
AZ	2003	4	193.17	193.30	
AZ	2004	1	199.11	199.64	
AZ	2004	2	207.05	206.17	
AZ	2004	3	217.82	216.60	
AZ	2004	4	228.98	229.53	
AZ	2005	1	244.63	245.39	
AZ	2005	2	270.43	269.09	
AZ	2005	3	292.07	290.00	
AZ	2005	4	303.43	304.75	
AZ	2006	1	314.82	315.87	
AZ	2006	2	321.67	319.88	
AZ	2006	3	317.89	315.22	
AZ	2006	4	319.59	321.54	
AZ	2007	1	318.72	319.83	
AZ	2007	2	316.19	314.15	
AZ	2007	3	310.07	307.29	
AZ	2007	4	290.09	292.26	
AZ	2008	1	276.19	277.02	
AZ	2008	2	263.60	261.90	
AZ	2008	3	244.92	242.61	
AZ	2008	4	223.89	225.69	
AZ	2009	1	215.88	216.53	
AZ	2009	2	204.43	203.11	
AZ	2009	3	202.09	200.12	
AZ	2009	4	195.88	197.44	
AZ	2010	1	191.33	191.97	
AZ	2010	2	188.65	187.47	
AZ	2010	3	180.96	179.20	
AZ	2010	4	170.34	171.49	
AZ	2011	1	167.86	168.62	
AZ	2011	2	164.01	162.94	
AZ	2011	3	165.85	164.32	
AZ	2011	4	167.49	168.43	
AZ	2012	1	173.42	174.32	
AZ	2012	2	185.66	184.49	
AZ	2012	3	195.92	194.19	
AZ	2012	4	199.87	200.70	
AZ	2013	1	205.55	206.79	
AZ	2013	2	218.77	217.38	
AZ	2013	3	224.60	222.69	
AZ	2013	4	230.30	231.09	
AZ	2014	1	232.11	233.58	
AZ	2014	2	236.43	234.95	
AZ	2014	3	239.46	237.54	
AZ	2014	4	239.88	240.50	
AZ	2015	1	244.67	246.28	
AZ	2015	2	252.26	250.67	
AZ	2015	3	258.60	256.64	
AZ	2015	4	260.91	261.52	
AZ	2016	1	264.95	266.61	
AZ	2016	2	273.19	271.58	
CA	1991	1	100.00	100.00	
CA	1991	2	99.67	99.25	
CA	1991	3	99.56	98.87	
CA	1991	4	99.69	99.22	
CA	1992	1	99.03	99.04	
CA	1992	2	98.02	97.61	
CA	1992	3	97.74	97.02	
CA	1992	4	95.97	95.56	
CA	1993	1	93.70	93.71	
CA	1993	2	92.97	92.57	
CA	1993	3	91.48	90.74	
CA	1993	4	90.26	89.95	
CA	1994	1	88.80	88.83	
CA	1994	2	88.57	88.14	
CA	1994	3	88.39	87.63	
CA	1994	4	86.95	86.73	
CA	1995	1	86.21	86.25	
CA	1995	2	86.07	85.59	
CA	1995	3	86.24	85.47	
CA	1995	4	85.18	85.06	
CA	1996	1	85.00	85.04	
CA	1996	2	85.13	84.58	
CA	1996	3	85.46	84.71	
CA	1996	4	85.25	85.21	
CA	1997	1	84.76	84.79	
CA	1997	2	86.91	86.27	
CA	1997	3	88.10	87.36	
CA	1997	4	88.93	88.93	
CA	1998	1	90.95	90.96	
CA	1998	2	94.43	93.67	
CA	1998	3	96.48	95.73	
CA	1998	4	98.06	98.06	
CA	1999	1	100.58	100.59	
CA	1999	2	103.82	102.95	
CA	1999	3	106.14	105.33	
CA	1999	4	108.35	108.34	
CA	2000	1	111.71	111.74	
CA	2000	2	116.10	115.15	
CA	2000	3	119.87	118.93	
CA	2000	4	123.85	123.81	
CA	2001	1	127.99	128.07	
CA	2001	2	132.55	131.53	
CA	2001	3	135.52	134.35	
CA	2001	4	138.09	138.01	
CA	2002	1	142.43	142.61	
CA	2002	2	149.87	148.80	
CA	2002	3	157.19	155.65	
CA	2002	4	161.80	161.71	
CA	2003	1	167.53	167.89	
CA	2003	2	175.06	173.82	
CA	2003	3	182.94	180.95	
CA	2003	4	191.74	191.72	
CA	2004	1	201.07	201.64	
CA	2004	2	215.58	213.96	
CA	2004	3	230.90	228.26	
CA	2004	4	240.06	240.11	
CA	2005	1	251.72	252.60	
CA	2005	2	267.47	265.34	
CA	2005	3	280.79	277.47	
CA	2005	4	284.00	284.08	
CA	2006	1	285.89	287.11	
CA	2006	2	287.65	285.26	
CA	2006	3	282.57	279.20	
CA	2006	4	274.28	274.19	
CA	2007	1	271.96	273.40	
CA	2007	2	269.08	266.79	
CA	2007	3	255.43	252.37	
CA	2007	4	234.95	234.66	
CA	2008	1	212.86	214.20	
CA	2008	2	196.04	194.38	
CA	2008	3	183.99	181.78	
CA	2008	4	171.91	171.51	
CA	2009	1	164.10	165.30	
CA	2009	2	164.56	163.18	
CA	2009	3	167.94	165.91	
CA	2009	4	168.62	168.12	
CA	2010	1	166.61	167.95	
CA	2010	2	168.41	166.99	
CA	2010	3	165.55	163.51	
CA	2010	4	160.61	160.16	
CA	2011	1	155.10	156.38	
CA	2011	2	154.73	153.34	
CA	2011	3	154.64	152.75	
CA	2011	4	153.42	153.12	
CA	2012	1	154.00	155.17	
CA	2012	2	161.81	160.27	
CA	2012	3	165.35	163.37	
CA	2012	4	171.34	171.18	
CA	2013	1	178.72	179.88	
CA	2013	2	191.91	190.02	
CA	2013	3	201.03	198.76	
CA	2013	4	203.25	203.23	
CA	2014	1	206.83	207.91	
CA	2014	2	213.45	211.34	
CA	2014	3	217.49	215.15	
CA	2014	4	219.01	219.10	
CA	2015	1	222.67	223.58	
CA	2015	2	229.30	227.07	
CA	2015	3	233.17	230.80	
CA	2015	4	235.71	235.84	
CA	2016	1	239.50	240.28	
CA	2016	2	245.76	243.44	
CO	1991	1	100.00	100.00	
CO	1991	2	100.95	100.05	
CO	1991	3	102.22	101.07	
CO	1991	4	103.13	102.96	
CO	1992	1	105.34	105.35	
CO	1992	2	108.82	107.85	
CO	1992	3	111.00	109.74	
CO	1992	4	113.67	113.46	
CO	1993	1	115.64	115.68	
CO	1993	2	120.42	119.33	
CO	1993	3	125.09	123.67	
CO	1993	4	128.11	127.86	
CO	1994	1	131.92	132.00	
CO	1994	2	137.00	135.73	
CO	1994	3	139.79	138.21	
CO	1994	4	140.47	140.20	
CO	1995	1	141.86	141.94	
CO	1995	2	144.97	143.60	
CO	1995	3	147.76	146.14	
CO	1995	4	148.52	148.24	
CO	1996	1	150.02	150.07	
CO	1996	2	153.45	151.99	
CO	1996	3	155.12	153.47	
CO	1996	4	156.28	156.01	
CO	1997	1	157.31	157.28	
CO	1997	2	160.78	159.23	
CO	1997	3	162.85	161.18	
CO	1997	4	163.70	163.48	
CO	1998	1	166.23	166.11	
CO	1998	2	170.34	168.68	
CO	1998	3	173.30	171.57	
CO	1998	4	175.91	175.76	
CO	1999	1	179.87	179.61	
CO	1999	2	186.32	184.49	
CO	1999	3	192.39	190.51	
CO	1999	4	194.64	194.54	
CO	2000	1	200.52	200.15	
CO	2000	2	207.50	205.44	
CO	2000	3	213.51	211.43	
CO	2000	4	217.22	217.16	
CO	2001	1	224.05	223.65	
CO	2001	2	229.22	226.89	
CO	2001	3	230.97	228.69	
CO	2001	4	230.62	230.60	
CO	2002	1	234.40	234.09	
CO	2002	2	237.23	234.70	
CO	2002	3	239.83	237.44	
CO	2002	4	239.92	239.89	
CO	2003	1	240.70	240.57	
CO	2003	2	243.98	241.22	
CO	2003	3	245.26	242.81	
CO	2003	4	245.07	244.98	
CO	2004	1	247.10	247.27	
CO	2004	2	254.10	250.99	
CO	2004	3	256.21	253.58	
CO	2004	4	255.11	255.00	
CO	2005	1	259.02	259.61	
CO	2005	2	265.80	262.19	
CO	2005	3	268.18	265.28	
CO	2005	4	270.56	270.63	
CO	2006	1	271.00	271.99	
CO	2006	2	276.93	272.76	
CO	2006	3	276.93	273.74	
CO	2006	4	276.74	277.14	
CO	2007	1	275.86	277.13	
CO	2007	2	281.63	276.99	
CO	2007	3	279.88	276.51	
CO	2007	4	272.43	273.10	
CO	2008	1	267.84	269.30	
CO	2008	2	273.29	268.55	
CO	2008	3	268.48	264.97	
CO	2008	4	258.32	259.16	
CO	2009	1	261.37	263.17	
CO	2009	2	269.03	264.05	
CO	2009	3	268.37	264.64	
CO	2009	4	263.31	264.23	
CO	2010	1	264.34	266.63	
CO	2010	2	267.01	261.81	
CO	2010	3	260.74	256.91	
CO	2010	4	260.24	261.18	
CO	2011	1	251.80	254.41	
CO	2011	2	257.95	252.60	
CO	2011	3	260.53	256.71	
CO	2011	4	254.74	255.60	
CO	2012	1	254.51	257.44	
CO	2012	2	272.53	266.65	
CO	2012	3	276.48	272.34	
CO	2012	4	278.36	279.51	
CO	2013	1	280.06	283.37	
CO	2013	2	298.09	291.29	
CO	2013	3	302.80	298.35	
CO	2013	4	303.78	305.50	
CO	2014	1	307.24	310.52	
CO	2014	2	322.88	315.30	
CO	2014	3	325.55	320.84	
CO	2014	4	328.40	330.93	
CO	2015	1	344.11	347.08	
CO	2015	2	358.84	350.31	
CO	2015	3	366.28	361.21	
CO	2015	4	363.93	367.24	
CO	2016	1	375.20	377.70	
CO	2016	2	395.35	386.09	
CT	1991	1	100.00	100.00	
CT	1991	2	97.81	98.03	
CT	1991	3	97.11	96.23	
CT	1991	4	96.53	95.84	
CT	1992	1	97.30	97.38	
CT	1992	2	95.18	95.37	
CT	1992	3	95.07	94.14	
CT	1992	4	96.03	95.36	
CT	1993	1	92.43	92.64	
CT	1993	2	91.63	91.72	
CT	1993	3	92.40	91.39	
CT	1993	4	91.96	91.40	
CT	1994	1	91.20	91.56	
CT	1994	2	91.89	91.83	
CT	1994	3	92.83	91.72	
CT	1994	4	91.83	91.41	
CT	1995	1	90.38	90.85	
CT	1995	2	90.70	90.44	
CT	1995	3	91.87	90.74	
CT	1995	4	91.03	90.77	
CT	1996	1	90.62	91.16	
CT	1996	2	91.98	91.50	
CT	1996	3	92.01	90.91	
CT	1996	4	90.89	90.74	
CT	1997	1	90.74	91.32	
CT	1997	2	92.66	92.01	
CT	1997	3	93.53	92.46	
CT	1997	4	93.37	93.28	
CT	1998	1	93.42	94.05	
CT	1998	2	96.40	95.61	
CT	1998	3	98.59	97.50	
CT	1998	4	99.70	99.64	
CT	1999	1	101.23	101.92	
CT	1999	2	104.66	103.78	
